order_id,inventory_id,customer_id,quantity,source
1,910,287,6,Reactive
2,268,750,5,protocol
3,781,151,10,Programmable
4,98,387,10,monitoring
5,39,257,6,challenge
6,481,25,3,installation
7,130,337,6,Multi-tiered
8,162,401,5,matrices
9,927,633,4,help-desk
10,570,52,1,context-sensitive
11,317,248,10,clear-thinking
12,319,681,7,Open-source
13,542,826,1,structure
14,624,242,3,fresh-thinking
15,296,903,2,projection
16,69,801,3,info-mediaries
17,595,479,7,static
18,121,48,10,zero defect
19,413,274,10,Focused
20,965,698,2,Synchronised
21,445,699,6,Cross-group
22,621,502,5,standardization
23,885,52,6,model
24,401,934,8,matrices
25,366,699,5,logistical
26,492,137,1,open system
27,213,254,3,Object-based
28,194,474,1,collaboration
29,784,978,3,challenge
30,317,677,3,bifurcated
31,225,754,6,knowledge user
32,76,927,6,actuating
33,870,279,1,neural-net
34,233,321,10,zero defect
35,912,248,6,bi-directional
36,794,882,6,capability
37,254,326,2,Operative
38,701,773,7,Open-architected
39,784,719,1,extranet
40,953,507,9,Expanded
41,890,356,6,Switchable
42,877,966,8,intermediate
43,967,568,3,internet solution
44,344,162,4,Digitized
45,825,918,9,Horizontal
46,493,732,9,encryption
47,441,574,6,Organized
48,999,808,3,Function-based
49,701,112,3,task-force
50,873,287,8,contextually-based
51,97,863,5,stable
52,40,950,3,artificial intelligence
53,338,764,4,Persistent
54,117,639,7,content-based
55,707,225,2,well-modulated
56,369,790,9,orchestration
57,233,44,2,Universal
58,335,892,9,local area network
59,536,185,3,user-facing
60,443,986,7,logistical
61,55,658,1,client-server
62,726,91,9,system engine
63,137,69,2,logistical
64,189,126,5,motivating
65,702,73,9,Down-sized
66,909,986,1,protocol
67,569,459,3,Pre-emptive
68,199,962,3,system engine
69,24,171,4,Synchronised
70,239,971,7,infrastructure
71,411,334,10,Organic
72,212,317,7,leading edge
73,579,75,7,user-facing
74,778,106,9,Advanced
75,993,228,7,concept
76,332,689,4,Centralized
77,360,397,6,database
78,121,848,8,Integrated
79,134,48,9,website
80,484,574,8,groupware
81,916,486,3,budgetary management
82,237,404,8,analyzing
83,646,640,9,challenge
84,761,676,2,info-mediaries
85,540,727,2,open architecture
86,598,204,10,ability
87,267,738,7,Inverse
88,448,305,5,exuding
89,355,541,10,empowering
90,554,710,10,static
91,940,84,1,Reduced
92,215,85,7,dynamic
93,407,361,5,success
94,863,37,2,Robust
95,356,563,7,Upgradable
96,347,159,3,eco-centric
97,447,846,9,maximized
98,384,179,2,Reverse-engineered
99,272,638,6,Programmable
100,179,168,7,optimizing
101,902,465,5,Pre-emptive
102,305,475,7,background
103,238,825,5,optimizing
104,231,977,3,solution-oriented
105,924,655,3,context-sensitive
106,517,13,8,database
107,53,438,2,encompassing
108,131,500,1,Focused
109,692,344,1,Enhanced
110,473,894,5,analyzing
111,709,194,2,Secured
112,264,676,3,product
113,278,336,7,leverage
114,269,61,4,infrastructure
115,400,172,5,bottom-line
116,819,417,8,24/7
117,257,232,4,Seamless
118,192,924,5,emulation
119,522,676,9,contextually-based
120,241,585,10,Persevering
121,360,271,6,monitoring
122,446,546,8,Reverse-engineered
123,628,730,3,value-added
124,56,453,7,middleware
125,275,533,5,framework
126,398,371,6,pricing structure
127,459,297,6,Face to face
128,26,50,7,Down-sized
129,441,794,1,asynchronous
130,607,395,3,hub
131,329,338,7,User-centric
132,59,685,3,challenge
133,735,584,6,Front-line
134,718,208,1,real-time
135,34,314,3,scalable
136,176,579,8,capacity
137,8,86,6,real-time
138,699,34,1,Multi-channelled
139,358,171,3,Cross-group
140,449,484,7,24 hour
141,734,912,2,workforce
142,682,502,5,intranet
143,969,203,8,Down-sized
144,629,891,5,systematic
145,680,91,8,Seamless
146,29,795,5,time-frame
147,449,466,4,Front-line
148,64,791,5,Future-proofed
149,773,304,9,next generation
150,926,83,9,workforce
151,966,640,5,Right-sized
152,570,259,7,portal
153,496,289,5,Front-line
154,95,183,2,De-engineered
155,152,872,1,forecast
156,733,198,4,Customer-focused
157,51,377,5,De-engineered
158,742,545,1,transitional
159,752,328,5,grid-enabled
160,384,216,4,Seamless
161,68,941,6,hardware
162,604,901,7,product
163,378,929,6,zero administration
164,988,615,5,holistic
165,842,291,4,solution-oriented
166,469,951,1,motivating
167,686,861,1,Universal
168,14,325,8,algorithm
169,559,575,6,transitional
170,327,899,6,toolset
171,911,484,1,Monitored
172,334,815,7,hardware
173,288,566,8,paradigm
174,28,351,2,system-worthy
175,980,268,4,zero defect
176,554,54,8,encompassing
177,639,227,3,Exclusive
178,794,204,3,standardization
179,459,535,10,Progressive
180,190,765,9,capacity
181,531,270,1,Customer-focused
182,32,711,7,data-warehouse
183,975,583,5,Face to face
184,144,63,10,human-resource
185,913,781,6,superstructure
186,456,26,3,Upgradable
187,383,139,2,Secured
188,754,78,10,circuit
189,967,364,4,Multi-lateral
190,15,831,3,flexibility
191,498,499,5,complexity
192,815,442,9,help-desk
193,796,698,3,focus group
194,917,177,9,infrastructure
195,109,566,9,forecast
196,221,287,3,Mandatory
197,87,717,2,De-engineered
198,310,898,8,24 hour
199,76,936,3,parallelism
200,557,640,9,groupware
201,352,425,8,Quality-focused
202,671,861,1,conglomeration
203,675,783,10,User-centric
204,965,64,3,explicit
205,189,624,10,directional
206,123,462,6,Integrated
207,589,477,4,impactful
208,564,456,3,conglomeration
209,252,79,10,logistical
210,933,151,7,executive
211,38,482,3,Proactive
212,958,621,10,benchmark
213,224,577,10,Optimized
214,356,792,10,Synchronised
215,374,566,8,actuating
216,985,615,6,disintermediate
217,40,208,9,eco-centric
218,813,344,1,throughput
219,958,474,1,incremental
220,434,333,6,concept
221,275,228,8,Profound
222,502,652,6,orchestration
223,290,926,6,Team-oriented
224,295,98,4,superstructure
225,952,774,5,Sharable
226,412,245,10,attitude
227,519,646,9,archive
228,442,106,8,Right-sized
229,422,74,4,Down-sized
230,442,645,7,Configurable
231,205,221,5,context-sensitive
232,110,792,7,Cloned
233,208,77,1,5th generation
234,747,250,6,empowering
235,242,582,9,toolset
236,671,262,8,secured line
237,737,704,2,uniform
238,834,85,7,radical
239,462,533,7,Persistent
240,877,996,9,Synergistic
241,412,708,5,middleware
242,14,828,4,eco-centric
243,275,519,5,portal
244,229,813,1,bifurcated
245,216,798,5,Networked
246,363,967,7,pricing structure
247,790,72,3,Persevering
248,483,760,10,Optimized
249,407,762,5,moratorium
250,402,14,4,context-sensitive
251,909,314,7,model
252,801,693,8,Decentralized
253,801,263,4,superstructure
254,492,9,8,Horizontal
255,907,982,5,array
256,161,830,10,Sharable
257,668,745,2,parallelism
258,495,727,2,Diverse
259,281,108,4,non-volatile
260,602,992,2,interface
261,719,962,10,next generation
262,395,528,3,software
263,543,753,3,contextually-based
264,926,99,6,Optional
265,795,773,2,dedicated
266,797,575,2,optimal
267,20,953,3,Team-oriented
268,544,597,4,portal
269,211,53,8,process improvement
270,7,898,7,Advanced
271,6,179,5,alliance
272,718,667,3,Virtual
273,989,601,6,attitude
274,594,724,9,Versatile
275,584,884,8,neutral
276,882,706,4,customer loyalty
277,331,184,1,encompassing
278,576,618,9,attitude-oriented
279,783,192,8,system engine
280,205,629,8,Assimilated
281,24,601,8,frame
282,714,145,6,pricing structure
283,767,770,10,Inverse
284,117,199,4,value-added
285,786,886,2,time-frame
286,889,265,1,zero administration
287,491,833,2,Compatible
288,731,884,9,Phased
289,951,140,6,encryption
290,852,534,9,Multi-lateral
291,25,165,1,architecture
292,42,429,7,Persistent
293,931,890,5,archive
294,753,558,7,needs-based
295,557,155,6,human-resource
296,928,359,3,hybrid
297,372,382,7,Robust
298,959,938,4,uniform
299,117,207,3,Open-architected
300,142,51,2,interactive
301,964,507,7,Virtual
302,83,56,9,Robust
303,298,51,2,Future-proofed
304,886,379,3,Switchable
305,577,134,3,bottom-line
306,561,803,2,value-added
307,755,155,5,Object-based
308,362,523,6,fault-tolerant
309,759,126,3,algorithm
310,441,878,4,homogeneous
311,720,292,8,interactive
312,241,793,3,user-facing
313,744,494,5,reciprocal
314,298,802,7,productivity
315,882,728,6,attitude
316,396,181,3,multi-state
317,736,710,5,neutral
318,374,231,6,software
319,617,900,7,hub
320,927,558,7,Virtual
321,380,812,6,Polarised
322,470,386,7,knowledge user
323,392,584,6,monitoring
324,999,364,1,Robust
325,926,665,9,structure
326,151,863,5,Profit-focused
327,651,666,5,interactive
328,387,514,9,Focused
329,230,991,9,Cloned
330,261,831,1,functionalities
331,226,3,2,24/7
332,873,255,6,bandwidth-monitored
333,264,401,9,Ameliorated
334,524,259,7,high-level
335,476,491,6,Decentralized
336,375,158,7,extranet
337,580,505,6,workforce
338,393,557,5,strategy
339,391,980,7,bi-directional
340,954,164,9,architecture
341,546,303,6,methodical
342,22,219,3,flexibility
343,856,29,4,Devolved
344,64,253,7,Public-key
345,105,569,2,high-level
346,362,717,10,reciprocal
347,647,381,1,Reverse-engineered
348,806,202,1,didactic
349,126,819,6,optimizing
350,509,157,6,matrices
351,964,896,10,holistic
352,707,224,9,zero tolerance
353,150,649,1,intangible
354,519,361,1,Organized
355,705,737,6,explicit
356,376,768,4,Polarised
357,433,335,1,Programmable
358,274,387,6,superstructure
359,355,865,6,24 hour
360,480,60,6,Focused
361,335,289,2,web-enabled
362,501,259,2,Customer-focused
363,343,952,8,secured line
364,742,836,4,system engine
365,188,637,4,Implemented
366,678,183,5,contingency
367,660,717,6,Synergistic
368,767,737,3,moderator
369,975,189,7,Enhanced
370,582,705,2,Pre-emptive
371,733,880,7,challenge
372,268,43,4,Profit-focused
373,25,574,3,interface
374,628,485,4,budgetary management
375,477,282,7,leverage
376,78,429,9,superstructure
377,988,991,6,encoding
378,957,411,3,client-driven
379,264,40,8,bifurcated
380,446,422,6,User-friendly
381,796,653,7,benchmark
382,302,459,2,Grass-roots
383,488,677,9,analyzer
384,465,520,9,Organic
385,765,618,5,regional
386,977,748,2,utilisation
387,413,571,2,synergy
388,490,479,8,Multi-lateral
389,581,239,5,directional
390,609,928,10,user-facing
391,101,765,9,zero defect
392,179,356,1,tangible
393,964,636,2,Realigned
394,798,32,9,tangible
395,877,565,6,middleware
396,505,121,8,content-based
397,284,426,3,middleware
398,22,493,8,help-desk
399,688,885,1,superstructure
400,110,251,10,Compatible
401,950,916,8,software
402,274,744,9,data-warehouse
403,241,24,5,Cloned
404,585,299,9,demand-driven
405,697,768,7,Networked
406,878,352,1,next generation
407,963,959,5,Enhanced
408,61,322,3,Grass-roots
409,146,885,4,Ameliorated
410,200,927,4,hardware
411,306,217,2,internet solution
412,571,438,6,eco-centric
413,423,118,1,logistical
414,542,661,3,regional
415,407,88,2,fault-tolerant
416,200,952,7,analyzer
417,978,6,10,Re-contextualized
418,513,814,6,framework
419,245,361,7,asynchronous
420,528,758,2,holistic
421,320,887,3,knowledge user
422,136,636,3,real-time
423,303,701,2,migration
424,945,36,6,Versatile
425,600,726,4,Fully-configurable
426,999,763,10,5th generation
427,877,598,9,Down-sized
428,575,746,3,parallelism
429,813,418,9,actuating
430,628,508,9,artificial intelligence
431,740,421,6,client-server
432,171,316,7,instruction set
433,421,289,5,executive
434,381,247,5,algorithm
435,725,388,4,Optional
436,474,264,2,software
437,403,505,5,algorithm
438,637,622,2,policy
439,965,543,4,Innovative
440,328,18,1,ability
441,525,674,9,Automated
442,259,730,4,product
443,761,802,7,Networked
444,803,163,9,mobile
445,943,114,3,human-resource
446,324,75,6,Multi-channelled
447,24,851,7,Versatile
448,356,417,2,implementation
449,662,808,6,Automated
450,905,127,4,Enhanced
451,30,805,1,circuit
452,79,361,6,client-server
453,632,268,1,product
454,855,85,3,Proactive
455,114,670,3,optimal
456,686,641,9,Mandatory
457,188,211,9,fresh-thinking
458,651,493,3,Upgradable
459,442,623,5,multi-state
460,589,560,5,Virtual
461,796,187,2,forecast
462,383,89,7,secondary
463,247,342,5,mission-critical
464,20,789,9,instruction set
465,364,456,4,workforce
466,59,879,6,dedicated
467,39,399,3,scalable
468,807,9,5,object-oriented
469,787,365,6,5th generation
470,813,292,6,instruction set
471,321,653,4,demand-driven
472,388,710,1,Multi-lateral
473,185,351,8,homogeneous
474,609,347,9,implementation
475,125,338,1,Automated
476,519,505,10,hardware
477,128,206,8,exuding
478,84,95,8,Object-based
479,224,852,9,holistic
480,260,666,2,software
481,765,113,10,Digitized
482,54,673,7,paradigm
483,113,783,6,optimizing
484,782,570,3,directional
485,532,645,9,system-worthy
486,88,192,10,workforce
487,431,771,1,bifurcated
488,647,998,7,architecture
489,37,441,2,local
490,409,931,6,focus group
491,330,205,9,Networked
492,145,817,4,website
493,297,312,7,Up-sized
494,464,503,1,Ergonomic
495,394,491,1,Vision-oriented
496,866,177,10,definition
497,69,449,1,capacity
498,559,276,4,Configurable
499,626,578,10,interface
500,781,855,5,Organic
501,933,607,6,well-modulated
502,281,967,9,cohesive
503,387,99,7,dedicated
504,755,37,10,Operative
505,747,531,8,empowering
506,855,748,9,Enhanced
507,245,518,3,didactic
508,767,848,2,encoding
509,668,549,1,service-desk
510,476,441,8,24 hour
511,919,302,2,even-keeled
512,573,660,10,Total
513,195,49,10,Decentralized
514,834,352,5,policy
515,890,885,7,model
516,894,423,1,Managed
517,221,199,3,Monitored
518,346,875,10,directional
519,778,942,6,background
520,554,933,8,support
521,770,320,6,website
522,615,662,2,support
523,508,867,2,fault-tolerant
524,393,836,3,directional
525,784,914,8,attitude
526,250,765,4,project
527,694,701,9,intermediate
528,163,318,6,projection
529,667,685,5,Automated
530,50,422,10,Virtual
531,887,146,7,installation
532,460,627,2,customer loyalty
533,102,499,8,pricing structure
534,514,377,8,empowering
535,989,788,4,frame
536,253,159,4,Polarised
537,462,737,6,Exclusive
538,973,769,4,background
539,988,490,6,methodical
540,239,613,1,concept
541,923,16,10,architecture
542,713,507,7,6th generation
543,250,628,1,grid-enabled
544,974,98,5,complexity
545,287,334,4,success
546,273,478,6,Digitized
547,41,933,5,function
548,388,252,3,architecture
549,963,540,10,Open-architected
550,439,521,6,scalable
551,560,700,10,access
552,493,224,10,demand-driven
553,115,690,3,next generation
554,234,535,10,initiative
555,92,368,7,Sharable
556,982,710,8,challenge
557,844,542,1,web-enabled
558,666,165,3,solution-oriented
559,766,140,1,strategy
560,922,538,4,Networked
561,993,214,5,attitude-oriented
562,223,65,8,infrastructure
563,486,97,1,motivating
564,665,565,2,neutral
565,105,20,6,6th generation
566,975,927,5,workforce
567,551,248,2,structure
568,130,337,10,Monitored
569,226,623,10,Integrated
570,724,442,10,asymmetric
571,249,462,6,mobile
572,825,709,4,Phased
573,580,183,6,dedicated
574,886,932,6,Organized
575,832,502,8,5th generation
576,390,894,9,Multi-tiered
577,193,302,2,Streamlined
578,563,896,8,adapter
579,476,386,1,Devolved
580,300,552,9,moderator
581,879,301,5,Inverse
582,204,608,3,incremental
583,842,338,6,Switchable
584,971,266,3,multimedia
585,679,709,7,contextually-based
586,104,393,8,Function-based
587,445,189,7,coherent
588,755,56,1,Fully-configurable
589,952,782,8,adapter
590,183,671,5,Open-source
591,22,806,10,Multi-layered
592,395,608,7,Business-focused
593,920,994,10,responsive
594,4,652,4,hybrid
595,860,500,2,eco-centric
596,81,596,7,Switchable
597,242,8,8,demand-driven
598,786,561,5,solution
599,42,133,6,Realigned
600,830,714,6,hybrid
601,118,483,7,Cross-platform
602,233,531,8,Polarised
603,435,338,3,success
604,319,478,7,groupware
605,431,861,3,algorithm
606,142,465,3,Multi-lateral
607,534,119,2,toolset
608,71,662,5,orchestration
609,992,509,8,leading edge
610,997,920,6,actuating
611,628,198,4,Optional
612,549,568,1,Inverse
613,999,350,6,logistical
614,771,511,1,benchmark
615,392,287,5,analyzing
616,777,684,7,discrete
617,298,639,9,Persistent
618,829,899,10,knowledge base
619,739,313,7,hybrid
620,734,250,2,cohesive
621,78,273,9,static
622,641,557,8,Digitized
623,815,27,8,Seamless
624,240,276,8,superstructure
625,70,561,4,info-mediaries
626,292,778,10,directional
627,139,808,3,focus group
628,94,447,3,Future-proofed
629,787,17,1,protocol
630,594,293,3,coherent
631,723,259,4,Graphical User Interface
632,498,60,3,multimedia
633,948,173,10,responsive
634,288,555,6,Front-line
635,941,735,1,Reactive
636,202,564,3,Enhanced
637,587,375,5,process improvement
638,363,434,9,explicit
639,137,786,8,Optional
640,603,97,1,Polarised
641,180,853,7,Devolved
642,787,470,7,Multi-tiered
643,401,425,9,Re-engineered
644,728,666,9,Realigned
645,118,720,4,Intuitive
646,242,860,2,Down-sized
647,343,313,6,Organic
648,976,596,8,alliance
649,295,487,8,motivating
650,769,493,4,exuding
651,677,748,6,utilisation
652,864,313,5,Implemented
653,567,165,6,Fundamental
654,582,694,8,hierarchy
655,827,614,2,discrete
656,225,262,10,encryption
657,195,502,7,context-sensitive
658,214,835,1,Business-focused
659,721,961,4,Business-focused
660,814,756,6,regional
661,586,882,1,capability
662,459,800,4,24 hour
663,218,237,3,zero defect
664,542,549,10,array
665,33,349,4,Configurable
666,103,934,6,superstructure
667,779,726,2,Cross-platform
668,77,94,6,portal
669,839,623,8,value-added
670,736,686,10,Total
671,132,143,5,cohesive
672,972,766,8,national
673,227,522,10,Future-proofed
674,653,728,1,matrices
675,760,359,2,policy
676,355,483,3,Public-key
677,866,425,2,Enhanced
678,466,95,3,next generation
679,510,775,2,website
680,235,604,6,Digitized
681,613,635,8,systematic
682,124,511,2,neutral
683,660,676,5,transitional
684,633,113,2,Up-sized
685,846,999,2,Organized
686,455,904,3,grid-enabled
687,4,844,3,Triple-buffered
688,756,647,9,infrastructure
689,83,764,10,radical
690,335,614,8,service-desk
691,943,363,2,encoding
692,979,489,1,Versatile
693,839,892,1,collaboration
694,910,241,5,solution
695,826,561,2,access
696,70,610,9,Self-enabling
697,356,28,7,Realigned
698,310,360,6,local
699,859,433,4,utilisation
700,905,424,10,multimedia
701,831,688,8,directional
702,547,964,7,extranet
703,683,428,4,logistical
704,989,147,3,Enhanced
705,122,214,1,human-resource
706,354,149,4,moderator
707,139,632,6,Centralized
708,413,325,4,Face to face
709,736,67,2,Graphical User Interface
710,44,983,2,grid-enabled
711,104,493,5,User-friendly
712,117,366,6,24/7
713,47,943,10,zero defect
714,671,587,2,synergy
715,742,638,8,heuristic
716,220,693,8,Decentralized
717,318,863,6,human-resource
718,595,911,7,leverage
719,744,459,6,even-keeled
720,912,924,9,Face to face
721,566,50,4,Switchable
722,38,297,9,Configurable
723,139,619,7,multimedia
724,146,800,2,Integrated
725,63,701,1,contingency
726,722,439,9,software
727,74,200,6,Managed
728,390,352,6,intranet
729,767,23,7,methodical
730,644,858,9,strategy
731,367,616,7,policy
732,329,767,8,analyzing
733,338,528,5,Grass-roots
734,821,522,1,next generation
735,845,716,9,Fundamental
736,668,402,6,software
737,1,500,7,system-worthy
738,107,623,5,Right-sized
739,308,788,9,Vision-oriented
740,54,134,5,uniform
741,807,822,3,attitude
742,918,734,7,Digitized
743,356,907,3,product
744,306,76,4,bottom-line
745,626,441,7,matrix
746,989,204,4,5th generation
747,844,447,7,clear-thinking
748,460,332,1,zero tolerance
749,688,346,4,product
750,727,435,8,Function-based
751,202,481,10,Seamless
752,313,23,10,Digitized
753,476,130,7,monitoring
754,524,770,2,workforce
755,320,445,2,zero defect
756,561,490,7,Phased
757,522,965,9,Secured
758,115,341,8,Team-oriented
759,217,864,5,Re-engineered
760,656,623,7,Versatile
761,605,379,2,optimal
762,406,451,8,Customizable
763,441,799,7,Team-oriented
764,886,95,4,De-engineered
765,473,453,10,Fundamental
766,259,565,8,neutral
767,992,796,4,explicit
768,696,197,2,global
769,259,664,10,bottom-line
770,458,996,5,workforce
771,844,758,4,Fundamental
772,112,398,5,5th generation
773,801,776,10,Fundamental
774,979,364,10,definition
775,76,689,3,leverage
776,841,809,10,Profit-focused
777,452,838,7,Triple-buffered
778,460,531,5,optimal
779,42,312,1,bifurcated
780,568,417,4,Extended
781,855,149,3,Front-line
782,709,949,10,moderator
783,884,103,9,empowering
784,939,777,3,open architecture
785,179,205,3,Diverse
786,220,363,9,24 hour
787,409,56,1,Realigned
788,370,402,3,full-range
789,971,239,1,holistic
790,123,969,9,dynamic
791,79,86,7,bandwidth-monitored
792,598,575,2,benchmark
793,709,919,9,Integrated
794,806,104,9,Stand-alone
795,131,733,2,software
796,313,254,7,encoding
797,96,605,4,multi-state
798,138,143,2,fresh-thinking
799,25,911,3,definition
800,343,466,5,Future-proofed
801,638,671,4,Self-enabling
802,228,720,7,asynchronous
803,899,762,5,Enhanced
804,36,223,1,incremental
805,800,19,3,emulation
806,455,501,2,reciprocal
807,403,107,2,internet solution
808,691,705,3,multi-state
809,950,157,5,Switchable
810,143,299,2,cohesive
811,590,973,3,even-keeled
812,484,263,6,focus group
813,438,409,6,discrete
814,498,755,8,dynamic
815,290,395,6,flexibility
816,994,641,1,Reactive
817,584,743,6,protocol
818,683,614,9,4th generation
819,213,756,9,encoding
820,982,747,10,Managed
821,342,771,7,exuding
822,611,433,7,Organic
823,375,190,9,Down-sized
824,631,148,2,Team-oriented
825,365,264,1,Synchronised
826,343,844,9,orchestration
827,515,116,2,6th generation
828,908,784,10,Fundamental
829,76,872,3,Cross-platform
830,769,40,3,Programmable
831,977,946,5,real-time
832,932,822,6,well-modulated
833,612,652,6,Optional
834,778,65,10,Synergistic
835,790,536,8,client-server
836,869,661,8,neutral
837,658,530,4,Ergonomic
838,623,591,2,Reduced
839,927,737,3,Intuitive
840,884,934,5,dynamic
841,449,438,8,software
842,595,869,1,Mandatory
843,148,166,9,coherent
844,730,778,4,directional
845,850,138,6,optimal
846,865,984,2,service-desk
847,303,227,1,Organized
848,868,192,3,coherent
849,179,363,8,Optional
850,705,298,9,Virtual
851,943,227,1,asymmetric
852,823,119,4,Switchable
853,309,725,10,Down-sized
854,970,312,2,leading edge
855,290,89,6,attitude
856,621,3,10,emulation
857,696,565,8,Advanced
858,60,697,8,Object-based
859,282,866,1,scalable
860,225,576,9,interface
861,464,215,8,Synergistic
862,952,252,7,encompassing
863,760,4,10,data-warehouse
864,753,496,7,capability
865,136,477,7,open system
866,356,694,1,Progressive
867,896,939,1,analyzer
868,649,925,8,Re-contextualized
869,441,616,10,projection
870,895,192,10,Secured
871,60,222,7,web-enabled
872,846,520,5,Reduced
873,255,466,4,Realigned
874,958,319,5,Intuitive
875,100,502,3,Focused
876,21,965,1,function
877,453,603,2,Balanced
878,73,799,3,Up-sized
879,313,635,5,artificial intelligence
880,831,944,1,open architecture
881,657,158,10,Phased
882,815,562,4,cohesive
883,488,49,10,background
884,579,388,4,Graphical User Interface
885,953,240,2,circuit
886,811,337,5,eco-centric
887,648,459,2,Sharable
888,95,804,7,24/7
889,155,829,7,customer loyalty
890,951,375,2,Function-based
891,379,305,7,Graphic Interface
892,720,166,5,well-modulated
893,681,486,1,functionalities
894,641,615,8,cohesive
895,484,977,3,software
896,630,147,8,analyzing
897,330,201,6,regional
898,909,61,10,directional
899,328,990,2,Proactive
900,403,773,4,Quality-focused
901,754,308,3,User-friendly
902,557,490,9,client-driven
903,120,888,7,Monitored
904,78,505,9,middleware
905,839,151,2,dedicated
906,660,989,9,knowledge user
907,777,481,10,background
908,997,439,5,Vision-oriented
909,39,598,7,intranet
910,225,37,3,Front-line
911,367,655,10,installation
912,95,22,1,core
913,491,70,3,Team-oriented
914,708,389,2,radical
915,313,474,4,leading edge
916,945,885,9,multi-state
917,310,643,9,user-facing
918,359,338,8,real-time
919,394,567,5,info-mediaries
920,887,251,7,Implemented
921,905,332,1,matrix
922,132,978,5,attitude-oriented
923,166,409,8,composite
924,36,146,9,tangible
925,548,492,2,optimal
926,488,228,10,functionalities
927,359,740,4,Vision-oriented
928,940,840,8,leading edge
929,430,134,7,Phased
930,255,658,7,Adaptive
931,854,72,9,dedicated
932,586,408,3,product
933,808,93,5,intranet
934,650,888,7,migration
935,658,287,9,synergy
936,20,25,6,methodical
937,351,334,9,value-added
938,249,782,7,access
939,348,327,1,Vision-oriented
940,307,446,9,transitional
941,921,134,9,internet solution
942,407,776,9,superstructure
943,843,953,7,Enhanced
944,731,798,6,Robust
945,923,656,1,methodical
946,488,980,5,eco-centric
947,985,783,4,Face to face
948,829,471,10,core
949,855,492,10,Open-source
950,824,677,10,Ameliorated
951,428,618,6,algorithm
952,709,743,9,Multi-lateral
953,715,565,4,Upgradable
954,36,608,3,data-warehouse
955,240,20,5,radical
956,910,72,7,uniform
957,138,904,10,software
958,521,905,2,paradigm
959,661,615,1,high-level
960,28,416,9,knowledge user
961,719,837,6,Streamlined
962,552,684,9,Streamlined
963,729,213,2,time-frame
964,205,381,3,extranet
965,149,248,10,open system
966,268,638,4,interface
967,536,87,6,Graphic Interface
968,104,365,5,Distributed
969,401,86,7,attitude
970,729,937,5,Vision-oriented
971,146,45,2,Down-sized
972,613,134,9,Face to face
973,401,522,10,content-based
974,362,592,6,task-force
975,605,180,4,software
976,371,420,4,Mandatory
977,597,865,8,strategy
978,84,282,5,dedicated
979,774,755,10,Extended
980,847,713,7,installation
981,697,399,3,throughput
982,505,47,1,Secured
983,628,306,7,support
984,405,397,7,attitude-oriented
985,259,621,5,middleware
986,464,279,6,Mandatory
987,647,909,5,collaboration
988,321,243,10,matrix
989,104,698,10,infrastructure
990,906,915,4,didactic
991,327,314,1,well-modulated
992,482,902,3,Decentralized
993,601,136,9,executive
994,53,822,2,uniform
995,963,692,6,5th generation
996,988,337,5,disintermediate
997,169,780,1,moratorium
998,847,407,6,flexibility
999,170,293,3,task-force
1000,896,36,9,dedicated
